Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
488,1KWf8LsYogaUKXqBD7pHDCrW5b6g5Pwujz,3350,3350,3350,0.01756,2022-06-22 23:59:53,2022-06-30 01:18:40,,,11,
489,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,3350,,,0.01756,2010-08-07 04:53:03,2021-06-09 09:39:20,2010-08-18 20:58:26,2011-04-24 05:44:11,39,2
490,1GfaQQ4XXqtrVXKhcS7pYgEKx8ZiFtrwEF,3349,3349,3349,0.01755,2022-06-29 16:46:33,2022-06-30 01:18:40,,,5,
491,1BQN5YFDvYpU11b7V57w5RerYYhhdHFfmk,3347,,,0.01754,2016-09-08 13:50:15,2022-01-25 22:52:38,2016-09-08 23:19:39,2020-02-04 16:03:42,49,16
492,1993iBshpkvGAxC1BgRUqDoCfr67h7LPxQ,3344,3344,3344,0.01752,2022-06-27 07:43:40,2022-06-29 16:46:33,,,8,
493,1Mkbhd9oGEnigqpT3AwTK7nUQmb2EfssPe,3344,3344,,0.01752,2022-06-21 21:10:07,2022-06-29 16:46:33,,,8,
494,1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,3340,,,0.01751,2021-03-05 02:26:19,2021-06-18 14:49:33,,,55,
495,bc1qrh0mk4hec7edmarnalse77an5rdpq7an6048rk,3336,,,0.01748,2021-10-12 04:07:56,2021-10-12 04:07:56,,,1,
496,33wD5q7SqoJst6HfvRvQgyXomMiKS3E2nR,3333,3333,3333,0.01747,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
497,1V5a5bfo8jttoYSvPQtxuh3QXS8QKQPwM,3331,3331,3331,0.01746,2022-06-22 14:04:16,2022-06-22 23:59:53,,,6,
498,1LNHExQfnW6YPCDPTbiWi3MZthGEwfn9Zs,3330,3330,,0.01745,2022-06-20 16:51:03,2022-06-20 16:51:03,,,5,
499,16JipQam6GAzL39E9R4nufkhpFyr7H8iu1,3330,3330,,0.01745,2022-06-19 11:19:00,2022-06-20 16:51:03,,,9,
500,bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u,3314,,,0.01737,2020-08-20 13:01:16,2022-06-30 06:47:08,2020-08-20 13:01:16,2022-06-29 09:50:47,27920,27883
