Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
89,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,10000,,,0.05241,2011-04-02 21:08:32,2022-06-17 01:10:26,,,51,
90,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,10000,,,0.05241,2011-05-04 02:01:23,2022-06-17 01:10:26,,,39,
91,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,10000,,,0.05241,2011-05-04 01:28:05,2022-06-17 01:10:26,,,38,
92,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,10000,,,0.05241,2014-02-05 17:33:30,2022-04-06 03:22:51,2017-09-22 16:59:21,2018-04-19 12:34:31,75,13
93,bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76,10000,,,0.05241,2022-05-19 18:28:46,2022-06-17 01:10:26,,,22,
94,bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8,10000,,,0.05241,2022-05-11 15:16:02,2022-06-17 01:10:26,,,21,
95,bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf,10000,,,0.05241,2022-04-08 12:20:03,2022-06-17 01:10:26,,,19,
96,bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu,10000,,,0.05241,2022-05-04 20:08:02,2022-06-17 01:10:26,,,21,
97,bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k,10000,,,0.05241,2022-04-25 10:11:59,2022-06-17 01:10:26,,,21,
98,1EU2pMence1UfifCco2UHJCdoqorAtpT7,10000,,,0.05241,2018-05-29 21:32:08,2022-06-17 01:10:26,,,27,
99,bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7,9906,,,0.05192,2021-07-29 17:26:47,2022-06-17 01:50:18,,,2,
100,bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw,9905,,,0.05191,2021-07-29 17:26:47,2022-06-17 01:50:18,,,2,
101,bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m,9904,,,0.05191,2021-07-29 19:42:19,2022-06-17 01:50:18,,,2,
102,bc1qgc5h9vz0zp4cmlxuw0h6jgryetq08e4twen03f,9903,,,0.05190,2021-07-29 19:29:09,2022-06-17 01:50:18,,,2,
103,bc1qxv55wuzz4qsfgss3uq2zwg5y88d7qv5hg67d2d,9901,,,0.05189,2021-07-29 17:26:47,2022-06-17 01:50:18,,,3,
104,bc1qmjpguunz9lc7h6zf533wtjc70ync94ptnrjqmk,9901,,,0.05189,2021-07-29 19:29:09,2022-06-17 03:10:10,,,2,
105,bc1qyr9dsfyst3epqycghpxshfmgy8qfzadfhp8suk,9900,,,0.05189,2021-07-29 19:29:09,2022-06-17 03:10:10,,,2,
106,bc1q8qg2eazryu9as20k3hveuvz43thp200g7nw7qy,9900,,,0.05189,2021-07-29 19:29:09,2022-06-17 03:10:10,,,2,
107,bc1q4ffskt6879l4ewffrrflpykvphshl9la4q037h,9895,,,0.05186,2021-07-29 20:31:26,2021-07-29 20:31:26,,,1,
108,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:24:43,,,65,
109,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:24:43,,,65,
110,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:08:36,,,65,
111,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,9873,,,0.05174,2018-12-04 22:49:42,2022-05-19 16:24:43,,,63,
112,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:24:43,,,65,
113,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:08:36,,,65,
114,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,9873,,,0.05174,2018-12-04 21:58:43,2022-05-19 16:08:36,,,80,
115,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:24:43,,,65,
116,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:24:43,,,64,
117,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,9873,,,0.05174,2018-12-04 22:05:14,2022-05-19 16:24:43,,,67,
118,3265tcUcp8dBhBBwp4rKN3iyUptuHkzMq7,9759,,,0.05114,2021-01-02 10:05:12,2021-10-01 04:20:42,2021-01-02 10:18:59,2021-01-02 10:18:59,22,1
119,1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,9724,,,0.05096,2018-12-04 22:49:42,2022-05-20 00:31:56,,,67,
120,bc1qsm3kjcmp63jsuyrqh58kc6k4ydpactjy6r7a6f,9631,,,0.05048,2021-07-29 19:42:19,2022-06-17 03:10:10,,,2,
121,1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,9625,,,0.05044,2018-12-04 22:49:42,2022-05-20 00:31:56,,,66,
122,bc1qajh7jfy44sswutqlwj2tz9wcejpxrgflc8penw,9500,,,0.04979,2020-12-28 19:57:01,2021-06-25 02:29:38,,,10,
123,1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,9425,,,0.04939,2017-10-15 22:32:51,2022-04-24 13:50:00,,,33,
124,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,9260,,,0.04853,2010-03-18 13:37:36,2022-04-01 06:02:45,,,84,
125,3KiC6mvNu5GBPnxKhtHKS88Km3UWVxhWtx,9200,9200,9200,0.04822,2022-06-27 10:16:25,2022-06-27 22:57:47,,,7,
126,bc1qh4cpaydaqlzez8ekkasm3ygj4us7gwxsghh047,9112,,,0.04775,2020-12-28 19:43:53,2022-06-17 03:10:10,,,14,
127,bc1q78wmm8xnhveklsparpeq6drlg9wlq4lyahkqfp,9099,,,0.04769,2020-12-28 19:43:53,2021-06-23 07:14:31,,,9,
128,3DwVjwVeJa9Z5Pu15WHNfKcDxY5tFUGfdx,9000,,,0.04717,2020-02-29 16:49:31,2021-12-30 22:29:06,2020-03-03 01:24:34,2021-12-30 22:29:06,29,4
129,1J1F3U7gHrCjsEsRimDJ3oYBiV24wA8FuV,9000,,,0.04717,2011-05-28 02:38:12,2022-04-05 00:01:56,2011-05-28 02:54:48,2022-04-05 00:01:56,2453,2452
130,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,8999,,,0.04716,2010-08-09 21:35:11,2021-06-25 02:29:38,,,42,
131,bc1qvjl5g620lx8p0dv6amdma5f8gh0cv6dqq295a5,8901,8901,8901,0.04665,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
132,36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS,8774,,,0.04598,2021-03-11 00:46:25,2022-06-30 00:15:39,2021-03-29 21:16:19,2022-06-24 21:49:34,265,183
133,bc1qhszrd0ef5we6mg3r7xgl05g8rx06xll8yrwmjh,8611,,,0.04513,2020-12-28 19:43:53,2021-07-06 13:13:11,,,9,
134,3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh,8597,,,0.04506,2020-04-08 21:23:42,2022-06-16 22:17:44,2020-05-02 00:39:57,2022-06-16 22:17:44,214,195
135,187zSqAYwMKJAxWdWQ4fmp5DyT6G2NPgD7,8539,8539,8539,0.04475,2022-06-25 10:59:26,2022-06-25 10:59:26,,,1,
136,1FzyryYKneS4wTrKKZUyP3oJXkiyRsMYfr,8500,,,0.04455,2022-03-28 20:14:28,2022-06-24 21:57:31,,,3,
137,bc1qdhvtwg0eealy5d2spua2a89sq05ydvtgjy4uau,8500,,,0.04455,2022-05-26 12:11:48,2022-05-31 10:04:43,,,16,
138,366koi4ZU7FyoyN3qXarLGMze8kFdq3Uh1,8454,8454,,0.04431,2022-06-13 09:13:32,2022-06-24 21:57:31,,,3,
139,1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn,8176,,,0.04285,2018-12-05 19:19:25,2021-07-27 10:21:02,,,60,
140,15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,8175,,,0.04285,2018-12-05 01:54:46,2022-03-05 17:57:51,,,64,
141,16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,8175,,,0.04285,2018-12-05 02:42:05,2021-07-27 10:08:43,,,60,
142,1BbSZNNhoBUCFGMfnscBDXf7PH1takoMga,8175,,,0.04285,2018-12-05 02:23:17,2021-07-27 10:08:43,,,59,
143,1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,8175,,,0.04285,2018-12-05 02:42:05,2021-07-27 10:12:23,,,65,
144,12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,8175,,,0.04285,2018-12-04 22:45:53,2021-07-27 10:08:43,,,60,
145,1Fjom9b9wvp3HPi2ZS9hqXQwJpXcjumSYJ,8175,,,0.04285,2018-12-05 14:38:08,2021-07-27 10:12:23,,,64,
146,16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,8175,,,0.04285,2018-12-05 02:42:05,2021-07-27 10:08:43,,,61,
147,1Eqj1APg1dkcPH7CmHJ6SzRwtJRLpxtBFA,8173,,,0.04283,2018-12-05 19:19:25,2021-07-27 11:11:24,,,63,
148,1QHVStz4ALAF8LFokjLy9QFaZKUFdraxeo,8150,,,0.04271,2018-12-18 11:05:30,2021-06-28 11:01:26,,,18,
149,19F4xZNBxtPAdMqFudr2LDH5efeeUYF21x,8137,,,0.04264,2018-12-05 19:19:25,2021-07-27 10:21:02,,,61,
150,157ZXCYfK6NqBiFLkoLDt3PN8KyE8xdTu5,8116,,,0.04253,2018-12-05 19:13:56,2021-07-27 11:33:41,,,59,
151,1GcPTDtNXuPghJU5qSGvkPQ99nhWrbQaYR,8022,,,0.04204,2020-09-04 03:45:03,2022-05-07 00:02:11,,,62,
152,1GaSQcWg3R98qf5sTWetwjjMh6ehxj25Gp,8022,,,0.04204,2020-06-03 11:59:14,2022-05-07 00:02:11,,,61,
153,1GBzbXJmcMjnDyTW2yKJFfeXUGicG1zpC4,8022,,,0.04204,2020-04-28 09:26:08,2022-05-06 23:59:15,,,65,
154,13TM7PLtf1Ujo9t9pk9RSyrv1ts119PNK5,8022,,,0.04204,2020-03-13 04:05:23,2022-05-06 23:59:15,,,60,
155,1MH8s3qc4F2GZNod1R43qeysSB2ssZCXb,8022,,,0.04204,2020-08-10 11:44:27,2022-05-07 00:02:11,,,61,
156,12T7nyMrAnd13UAMYCCJZ8Fw7PpMGPRFsi,8022,,,0.04204,2020-05-11 14:46:13,2022-05-06 23:59:15,,,66,
157,1LjUYdf8mQk9DsrVvuPYeHyJKQq5V1MLsT,8022,,,0.04204,2020-03-20 15:00:46,2022-05-07 00:02:11,,,69,
